,D,T,G
51621,992.7810843373495,1112.3099598393576,-868359.4293701226
51622,992.7810843373495,1119.2442570281125,-886972.0004899238
51623,992.7810843373495,1126.1785542168675,-905735.6125038357
51624,992.7810843373495,1133.1128514056227,-924649.3406828964
51625,992.7810843373495,1140.0471485943776,-943712.2704858477
51626,992.7810843373495,1146.9814457831326,-962923.4974367621
51627,992.7810843373495,1153.9157429718875,-982282.1270024223
51628,992.7810843373495,1160.8500401606427,-1001787.2744694834
51629,992.7810843373495,1167.7843373493977,-1021438.0648217107
51630,992.7810843373495,1174.7186345381526,-1041233.632617374
51631,992.7810843373495,1181.6529317269078,-1061173.1218668558
51632,992.7810843373495,1188.5872289156628,-1081255.6859107343
51633,992.7810843373495,1195.5215261044177,-1101480.4872983343
51634,992.7810843373495,1202.455823293173,-1121846.697666877
51635,992.7810843373495,1209.3901204819279,-1142353.4976213318
51636,992.7810843373495,1216.3244176706828,-1163000.0766150467
51637,992.7810843373495,1223.2587148594378,-1183785.6328312308
51638,992.7810843373495,1230.193012048193,-1204709.373065323
51639,992.7810843373495,1237.127309236948,-1225770.5126083898
51640,992.7810843373495,1244.0616064257028,-1246968.2751315138
51641,992.7810843373495,1250.995903614458,-1268301.8925712719
51642,992.7810843373495,1257.930200803213,-1289770.6050163617
51643,992.7810843373495,1264.864497991968,-1311373.6605953658
51644,992.7810843373495,1271.798795180723,-1333110.3153657203
51645,992.7810843373495,1278.733092369478,-1354979.8332039472
51646,992.7810843373495,1285.667389558233,-1376981.4856970734
51647,992.7810843373495,1292.601686746988,-1399114.552035417
51648,992.7810843373495,1299.535983935743,-1421378.3189065824
51649,992.7810843373495,1306.4702811244981,-1443772.0803908638
51650,992.7810843373495,1313.404578313253,-1466295.1378578783
51651,992.7810843373495,1320.338875502008,-1488946.799864617
51652,992.7810843373495,1327.2731726907632,-1511726.3820548076
51653,992.7810843373495,1334.2074698795182,-1534633.20705964
51654,992.7810843373495,1341.141767068273,-1557666.6043998282
51655,992.7810843373495,1348.076064257028,-1580825.910389075
51656,992.7810843373495,1355.0103614457832,-1604110.468038826
51657,992.7810843373495,1361.9446586345382,-1627519.6269644725
51658,992.7810843373495,1368.8789558232932,-1651052.7432928106
51659,992.7810843373495,1375.8132530120483,-1674709.1795709177
51660,992.7810843373495,1382.7475502008033,-1698488.3046763444
51661,992.7810843373495,1389.6818473895582,-1722389.49372865
51662,992.7810843373495,1396.6161445783132,-1746412.1280022527
51663,992.7810843373495,1403.5504417670684,-1770555.5948406146
51664,992.7810843373495,1410.4847389558233,-1794819.2875717182
51665,992.7810843373495,1417.4190361445783,-1819202.6054248663
51666,992.7810843373495,1424.3533333333335,-1843704.9534487224
51667,992.7810843373495,1431.2876305220884,-1868325.7424306767
51668,992.7810843373495,1438.2219277108434,-1893064.3888174347
51669,992.7810843373495,1445.1562248995986,-1917920.3146368752
51670,992.7810843373495,1452.0905220883535,-1942892.9474211303
51671,992.7810843373495,1459.0248192771085,-1967981.720130871
51672,992.7810843373495,1465.9591164658634,-1993186.071080839
51673,992.7810843373495,1472.8934136546186,-2018505.4438665241
51674,992.7810843373495,1479.8277108433736,-2043939.28729204
51675,992.7810843373495,1486.7620080321285,-2069487.0552991494
51676,992.7810843373495,1493.6963052208837,-2095148.2068974527
51677,992.7810843373495,1500.6306024096386,-2120922.2060956648
51678,992.7810843373495,1507.5648995983936,-2146808.521834051
51679,992.7810843373495,1514.4991967871485,-2172806.6279179063
51680,992.7810843373495,1521.4334939759037,-2198916.0029521817
51681,992.7810843373495,1528.3677911646587,-2225136.1302770996
51682,992.7810843373495,1535.3020883534136,-2251466.497904893
51683,992.7810843373495,1542.2363855421688,-2277906.598457505
51684,992.7810843373495,1549.1706827309238,-2304455.9291053535
51685,992.7810843373495,1556.1049799196787,-2331113.9915070822
51686,992.7810843373495,1563.0392771084337,-2357880.291750291
51687,992.7810843373495,1569.9735742971889,-2384754.340293234
51688,992.7810843373495,1576.9078714859438,-2411735.6519074985
51689,992.7810843373495,1583.8421686746988,-2438823.7456215504
51690,992.7810843373495,1590.776465863454,-2466018.1446652934
51691,992.7810843373495,1597.710763052209,-2493318.376415469
51692,992.7810843373495,1604.6450602409639,-2520723.9723419766
51693,992.7810843373495,1611.579357429719,-2548234.4679550445
51694,992.7810843373495,1618.513654618474,-2575849.40275331
51695,992.7810843373495,1625.447951807229,-2603568.320172677
51696,992.7810843373495,1632.382248995984,-2631390.7675360874
51697,992.7810843373495,1639.316546184739,-2659316.2960040257
51698,992.7810843373495,1646.250843373494,-2687344.46052589
51699,992.7810843373495,1653.185140562249,-2715474.819792133
51700,992.7810843373495,1660.1194377510042,-2743706.9361871635
51701,992.7810843373495,1667.0537349397591,-2772040.3757430194
51702,992.7810843373495,1673.988032128514,-2800474.708093826
51703,992.7810843373495,1680.922329317269,-2829009.5064308993
51704,992.7810843373495,1687.8566265060242,-2857644.3474586797
51705,992.7810843373495,1694.7909236947792,-2886378.8113512793
51706,992.7810843373495,1701.7252208835341,-2915212.481709824
51707,992.7810843373495,1708.6595180722893,-2944144.945520353
51708,992.7810843373495,1715.5938152610443,-2973175.7931125085
51709,992.7810843373495,1722.5281124497992,-3002304.6181188393
51710,992.7810843373495,1729.4624096385544,-3031531.017434731
51711,992.7810843373495,1736.3967068273093,-3060854.591178997
51712,992.7810843373495,1743.3310040160643,-3090274.9426550935
51713,992.7810843373495,1750.2653012048193,-3119791.6783129345
51714,992.7810843373495,1757.1995983935744,-3149404.4077113373
51715,992.7810843373495,1764.1338955823294,-3179112.743481003
51716,992.7810843373495,1771.0681927710843,-3208916.301288154
51717,992.7810843373495,1778.0024899598395,-3238814.6997986655
51718,992.7810843373495,1784.9367871485945,-3268807.560642814
51719,992.7810843373495,1791.8710843373494,-3298894.508380538
51720,992.7810843373495,1798.8053815261044,-3329075.170467264
51721,992.7810843373495,1805.7396787148596,-3359349.177220252
51722,992.7810843373495,1812.6739759036145,-3389716.1617854442
51723,992.7810843373495,1819.6082730923695,-3420175.760104842
51724,992.7810843373495,1826.5425702811247,-3450727.6108843903
51725,992.7810843373495,1833.4768674698796,-3481371.355562343
51726,992.7810843373495,1840.4111646586346,-3512106.6382781044
51727,992.7810843373495,1847.3454618473897,-3542933.1058415696
51728,992.7810843373495,1854.2797590361447,-3573850.4077028893
51729,992.7810843373495,1861.2140562248997,-3604858.1959227268
51730,992.7810843373495,1868.1483534136546,-3635956.1251429734
51731,992.7810843373495,1875.0826506024098,-3667143.852557875
51732,992.7810843373495,1882.0169477911647,-3698421.0378855597
51733,992.7810843373495,1888.9512449799197,-3729787.3433400993
51734,992.7810843373495,1895.8855421686749,-3761242.4336038735
51735,992.7810843373495,1902.8198393574298,-3792785.9758004113
51736,992.7810843373495,1909.7541365461848,-3824417.6394676133
51737,992.7810843373495,1916.6884337349397,-3856137.0965313683
51738,992.7810843373495,1923.622730923695,-3887944.021279545
51739,992.7810843373495,1930.5570281124499,-3919838.090336403
51740,992.7810843373495,1937.4913253012048,-3951818.98263735
51741,992.7810843373495,1944.42562248996,-3983886.379404068
51742,992.7810843373495,1951.359919678715,-4016039.964120001
51743,992.7810843373495,1958.29421686747,-4048279.4225061913
51744,992.7810843373495,1965.2285140562249,-4080604.4424975
51745,992.7810843373495,1972.16281124498,-4113014.714219133
51746,992.7810843373495,1979.097108433735,-4145509.9299634956
51747,992.7810843373495,1986.03140562249,-4178089.784167421
51748,992.7810843373495,1992.9657028112451,-4210753.973389679
51749,992.7810843373495,1999.9,-4243502.196288811
51751,997.6003614457832,280.19429718875506,-377.3205333231473
51752,997.6003614457832,287.12859437751007,-1476.0985362099318
51753,997.6003614457832,294.0628915662651,-3276.407780328394
51754,997.6003614457832,300.99718875502015,-2694.6806706480984
51755,997.6003614457832,307.93148594377516,-812.4442625273033
51756,997.6003614457832,314.86578313253017,1473.1336112582842
51757,997.6003614457832,321.8000803212852,4081.506478738654
51758,997.6003614457832,328.7343775100402,6940.264926110296
51759,997.6003614457832,335.66867469879526,9984.891429851732
51760,997.6003614457832,342.60297188755027,13158.31138703308
51761,997.6003614457832,349.5372690763053,16410.320540791778
51762,997.6003614457832,356.4715662650603,19696.95217574141
51763,997.6003614457832,363.4058634538153,22979.830347574665
51764,997.6003614457832,370.34016064257037,26225.540636403784
51765,997.6003614457832,377.2744578313253,29405.03822528407
51766,997.6003614457832,384.2087550200804,32493.104394826933
51767,997.6003614457832,391.1430522088354,35467.85634373632
51768,997.6003614457832,398.0773493975904,38310.31106251686
51769,997.6003614457832,405.0116465863455,41004.00131112163
51770,997.6003614457832,411.94594377510043,43534.64016482206
51771,997.6003614457832,418.8802409638555,45889.829770850665
51772,997.6003614457832,425.8145381526105,48058.80965137902
51773,997.6003614457832,432.7488353413655,50032.23991639116
51774,997.6003614457832,439.68313253012053,51802.01498171624
51775,997.6003614457832,446.61742971887554,53361.103733839176
51776,997.6003614457832,453.5517269076306,54703.412482502215
51777,997.6003614457832,460.48602409638556,55823.66745494135
51778,997.6003614457832,467.42032128514063,56717.31398708827
51779,997.6003614457832,474.35461847389564,57380.42994235424
51780,997.6003614457832,481.28891566265065,57809.6512307881
51781,997.6003614457832,488.2232128514057,58002.107606174075
51782,997.6003614457832,495.1575100401607,57955.367188187636
51783,997.6003614457832,502.09180722891574,57667.388390225446
51784,997.6003614457832,509.02610441767075,57136.47813576796
51785,997.6003614457832,515.9604016064258,56361.25541945302
51786,997.6003614457832,522.8946987951808,55340.619416485664
51787,997.6003614457832,529.8289959839358,54073.721469304604
51788,997.6003614457832,536.7632931726909,52559.940386581045
51789,997.6003614457832,543.6975903614459,50798.8605786178
51790,997.6003614457832,550.6318875502009,48790.25262871871
51791,997.6003614457832,557.5661847389558,46534.05596284893
51792,997.6003614457832,564.5004819277109,44030.363333197936
51793,997.6003614457832,571.434779116466,41279.406875100074
51794,997.6003614457832,578.3690763052209,38281.54553433098
51795,997.6003614457832,585.303373493976,35037.25369255586
51796,997.6003614457832,592.237670682731,31547.11084476981
51797,997.6003614457832,599.171967871486,27811.792204318066
51798,997.6003614457832,606.106265060241,23832.060129255377
51799,997.6003614457832,613.040562248996,19608.756279173253
51800,997.6003614457832,619.9748594377511,15142.794424192063
51801,997.6003614457832,626.909156626506,10435.153838865177
51802,997.6003614457832,633.8434538152611,5486.8732225192725
51803,997.6003614457832,640.7777510040162,299.0450953573159
51804,997.6003614457832,647.7120481927711,-5127.18937403894
51805,997.6003614457832,654.6463453815261,-10790.645148582047
51806,997.6003614457832,661.5806425702813,-16690.097744226627
51807,997.6003614457832,668.5149397590362,-22824.287323420645
51808,997.6003614457832,675.4492369477912,-29191.922487411754
51809,997.6003614457832,682.3835341365462,-35791.683791412164
51810,997.6003614457832,689.3178313253013,-42622.227004200024
51811,997.6003614457832,696.2521285140563,-49682.18613151105
51812,997.6003614457832,703.1864257028113,-56970.17622081932
51813,997.6003614457832,710.1207228915664,-64484.79596340032
51814,997.6003614457832,717.0550200803214,-72224.63010810566
51815,997.6003614457832,723.9893172690763,-80188.2517002521
51816,997.6003614457832,730.9236144578314,-88374.22415751606
51817,997.6003614457832,737.8579116465864,-96781.10319435205
51818,997.6003614457832,744.7922088353414,-105407.43860478987
51819,997.6003614457832,751.7265060240965,-114251.77591349362
51820,997.6003614457832,758.6608032128515,-123312.6579036559
51821,997.6003614457832,765.5951004016065,-132588.62602993153
51822,997.6003614457832,772.5293975903614,-142078.2217240368
51823,997.6003614457832,779.4636947791166,-151779.98760003404
51824,997.6003614457832,786.3979919678716,-161692.46856585582
51825,997.6003614457832,793.3322891566265,-171814.21284722854
51826,997.6003614457832,800.2665863453817,-182143.7729297252
51827,997.6003614457832,807.2008835341367,-192679.70642423577
51828,997.6003614457832,814.1351807228916,-203420.57686096375
51829,997.6003614457832,821.0694779116466,-214364.95441650224
51830,997.6003614457832,828.0037751004018,-225511.4165784932
51831,997.6003614457832,834.9380722891567,-236858.54875190268
51832,997.6003614457832,841.8723694779117,-248404.94481077662
51833,997.6003614457832,848.8066666666668,-260149.20759910057
51834,997.6003614457832,855.7409638554218,-272089.94938413554
51835,997.6003614457832,862.6752610441768,-284225.79226539825
51836,997.6003614457832,869.6095582329317,-296555.3685422801
51837,997.6003614457832,876.5438554216869,-309077.32104305906
51838,997.6003614457832,883.4781526104418,-321790.30341793975
51839,997.6003614457832,890.4124497991968,-334692.98039866134
51840,997.6003614457832,897.346746987952,-347784.0280267682
51841,997.6003614457832,904.2810441767069,-361062.13385294663
51842,997.6003614457832,911.2153413654619,-374525.9971093072
51843,997.6003614457832,918.1496385542168,-388174.32885652734
51844,997.6003614457832,925.083935742972,-402005.8521076951
51845,997.6003614457832,932.018232931727,-416019.30193046835
51846,997.6003614457832,938.9525301204819,-430213.42552914564
51847,997.6003614457832,945.8868273092371,-444586.98230811773
51848,997.6003614457832,952.8211244979921,-459138.743918033
51849,997.6003614457832,959.755421686747,-473867.4942860823
51850,997.6003614457832,966.6897188755022,-488772.02963140636
51851,997.6003614457832,973.6240160642571,-503851.15846702957
51852,997.6003614457832,980.5583132530121,-519103.70158908464
51853,997.6003614457832,987.492610441767,-534528.4920545873
51854,997.6003614457832,994.4269076305222,-550124.3751485145
51855,997.6003614457832,1001.3612048192772,-565890.2083410776
51856,997.6003614457832,1008.2955020080321,-581824.8612361095
51857,997.6003614457832,1015.2297991967873,-597927.2155111913
51858,997.6003614457832,1022.1640963855423,-614196.1648502881
