,T,P,U
34269,1495.3111415525116,771689637.3097719,3802299.7940892475
34270,1495.3111415525116,776255844.5615765,3800709.938010258
34271,1495.3111415525116,780822051.8133811,3799134.0112352218
34272,1495.3111415525116,785388259.0651857,3797571.875562981
34273,1495.3111415525116,789954466.3169901,3796023.394161116
34274,1495.3111415525116,794520673.5687947,3794488.431545621
34275,1495.3111415525116,799086880.8205993,3792966.853561841
34276,1495.3111415525116,803653088.0724039,3791458.5273665874
34277,1495.3111415525116,808219295.3242085,3789963.3214113596
34278,1495.3111415525116,812785502.576013,3788481.105426578
34279,1495.3111415525116,817351709.8278176,3787011.750406778
34280,1495.3111415525116,821917917.0796221,3785555.128596671
34281,1495.3111415525116,826484124.3314267,3784111.1134780236
34282,1495.3111415525116,831050331.5832312,3782679.579757292
34283,1495.3111415525116,835616538.8350358,3781260.4033539253
34284,1495.3111415525116,840182746.0868404,3779853.4613893256
34285,1495.3111415525116,844748953.338645,3778458.6321763624
34286,1495.3111415525116,849315160.5904495,3777075.7952094288
34287,1495.3111415525116,853881367.842254,3775704.831154967
34288,1495.3111415525116,858447575.0940586,3774345.621842425
34289,1495.3111415525116,863013782.3458632,3772998.050255622
34290,1495.3111415525116,867579989.5976677,3771662.0005244277
34291,1495.3111415525116,872146196.8494723,3770337.3579167933
34292,1495.3111415525116,876712404.1012769,3769024.008831028
34293,1495.3111415525116,881278611.3530815,3767721.8407883435
34294,1495.3111415525116,885844818.604886,3766430.7424255894
34295,1495.3111415525116,890411025.8566905,3765150.6034881976
34296,1495.3111415525116,894977233.1084951,3763881.312305876
34297,1495.3111415525116,899543440.3602997,3762622.765793567
34298,1495.3111415525116,904109647.6121043,3761374.854526955
34299,1495.3111415525116,908675854.8639088,3760137.4726180444
34300,1495.3111415525116,913242062.1157134,3758910.5152539997
34301,1495.3111415525116,917808269.367518,3757693.878690681
34302,1495.3111415525116,922374476.6193225,3756487.460246261
34303,1495.3111415525116,926940683.871127,3755291.158294842
34304,1495.3111415525116,931506891.1229316,3754104.8722600834
34305,1495.3111415525116,936073098.3747362,3752928.5026088487
34306,1495.3111415525116,940639305.6265408,3751761.9508448103
34307,1495.3111415525116,945205512.8783453,3750605.1195020787
34308,1495.3111415525116,949771720.1301498,3749457.9121387596
34309,1495.3111415525116,954337927.3819544,3748320.233330515
34310,1495.3111415525116,958904134.633759,3747191.9886640566
34311,1495.3111415525116,963470341.8855636,3746073.084730604
34312,1495.3111415525116,968036549.1373681,3744963.4291192885
34313,1495.3111415525116,972602756.3891727,3743862.9304105234
34314,1495.3111415525116,977168963.6409773,3742771.498169275
34315,1495.3111415525116,981735170.8927819,3741689.0429383107
34316,1495.3111415525116,986301378.1445863,3740615.4762313883
34317,1495.3111415525116,990867585.3963909,3739550.710526339
34318,1495.3111415525116,995433792.6481955,3738494.6592581444
34319,1495.3111415525116,999999999.9,3737447.2368119108
34321,1503.1953424657536,4566819.006605459,4527247.336731246
34322,1503.1953424657536,9133026.258410022,4519144.486616751
34323,1503.1953424657536,13699233.510214584,4511041.081848497
34324,1503.1953424657536,18265440.762019146,4502940.873673041
34325,1503.1953424657536,22831648.013823707,4494847.68619394
34326,1503.1953424657536,27397855.26562827,4486765.38926189
34327,1503.1953424657536,31964062.517432835,4478697.867255191
34328,1503.1953424657536,36530269.76923739,4470648.995207187
34329,1503.1953424657536,41096477.02104195,4462622.610498894
34330,1503.1953424657536,45662684.27284651,4454622.488270511
34331,1503.1953424657536,50228891.52465108,4446652.318195152
34332,1503.1953424657536,54795098.77645564,4438715.68332437
34333,1503.1953424657536,59361306.0282602,4430816.041260159
34334,1503.1953424657536,63927513.28006477,4422956.70784477
34335,1503.1953424657536,68493720.53186934,4415140.843491292
34336,1503.1953424657536,73059927.7836739,4407371.442208207
34337,1503.1953424657536,77626135.03547846,4399651.323303306
34338,1503.1953424657536,82192342.28728302,4391983.125689318
34339,1503.1953424657536,86758549.53908758,4384369.304657887
34340,1503.1953424657536,91324756.79089214,4376812.130941534
34341,1503.1953424657536,95890964.04269671,4369313.691846382
34342,1503.1953424657536,100457171.29450127,4361875.894211727
34343,1503.1953424657536,105023378.54630584,4354500.468936262
34344,1503.1953424657536,109589585.7981104,4347188.9768039165
34345,1503.1953424657536,114155793.04991496,4339942.815344218
34346,1503.1953424657536,118722000.30171952,4332763.226471374
34347,1503.1953424657536,123288207.55352408,4325651.304661734
34348,1503.1953424657536,127854414.80532865,4318608.0054494655
34349,1503.1953424657536,132420622.05713321,4311634.1540437965
34350,1503.1953424657536,136986829.30893776,4304730.453896913
34351,1503.1953424657536,141553036.56074232,4297897.495078241
34352,1503.1953424657536,146119243.81254688,4291135.762337621
34353,1503.1953424657536,150685451.06435144,4284445.642765831
34354,1503.1953424657536,155251658.316156,4277827.432985509
34355,1503.1953424657536,159817865.56796056,4271281.345828145
34356,1503.1953424657536,164384072.81976512,4264807.516473318
34357,1503.1953424657536,168950280.07156968,4258406.008044187
34358,1503.1953424657536,173516487.32337424,4252076.816668698
34359,1503.1953424657536,178082694.5751788,4245819.876028569
34360,1503.1953424657536,182648901.82698336,4239635.061428354
34361,1503.1953424657536,187215109.07878795,4233522.193424405
