,T,D,S
22130,1976.723624161074,644.3053020134229,6657.367320622159
22131,1976.723624161074,652.3589932885907,6644.429398516795
22132,1976.723624161074,660.4126845637585,6631.549109002486
22133,1976.723624161074,668.4663758389262,6618.725093678323
22134,1976.723624161074,676.520067114094,6605.955964323596
22135,1976.723624161074,684.5737583892618,6593.24030090272
22136,1976.723624161074,692.6274496644296,6580.576650786892
22137,1976.723624161074,700.6811409395974,6567.963529119617
22138,1976.723624161074,708.7348322147652,6555.39942024079
22139,1976.723624161074,716.7885234899329,6542.882780073652
22140,1976.723624161074,724.8422147651007,6530.412039370273
22141,1976.723624161074,732.8959060402685,6517.985607704668
22142,1976.723624161074,740.9495973154363,6505.6018780981185
22143,1976.723624161074,749.0032885906041,6493.259232158874
22144,1976.723624161074,757.0569798657718,6480.95604561789
22145,1976.723624161074,765.1106711409396,6468.690694143773
22146,1976.723624161074,773.1643624161075,6456.4615593233275
22147,1976.723624161074,781.2180536912753,6444.267034699027
22148,1976.723624161074,789.2717449664431,6432.105531761021
22149,1976.723624161074,797.3254362416108,6419.975485799003
22150,1976.723624161074,805.3791275167786,6407.875361527772
22151,1976.723624161074,813.4328187919464,6395.803658409903
22152,1976.723624161074,821.4865100671142,6383.75891560899
22153,1976.723624161074,829.540201342282,6371.739716517353
22154,1976.723624161074,837.5938926174497,6359.744692812773
