,V,T,U
40509,1.1720829224740799,335.66867469879526,2462798.106253078
40510,1.1720829224740799,342.60297188755027,2472649.2594277347
40511,1.1720829224740799,349.5372690763053,2482512.332670766
40512,1.1720829224740799,356.4715662650603,2492388.966343602
40513,1.1720829224740799,363.4058634538153,2502280.6045586057
40514,1.1720829224740799,370.34016064257037,2512188.534608164
40515,1.1720829224740799,377.2744578313253,2522113.9137682216
40516,1.1720829224740799,384.2087550200804,2532057.7890457558
40517,1.1720829224740799,391.1430522088354,2542021.112422252
40518,1.1720829224740799,398.0773493975904,2552004.7529632607
40519,1.1720829224740799,405.0116465863455,2562009.506636326
40520,1.1720829224740799,411.94594377510043,2572036.10440547
40521,1.1720829224740799,418.8802409638555,2582085.219007128
40522,1.1720829224740799,425.8145381526105,2592157.470704787
40523,1.1720829224740799,432.7488353413655,2602253.4322441076
40524,1.1720829224740799,439.68313253012053,2612373.6331754397
40525,1.1720829224740799,446.61742971887554,2622518.5636700024
40526,1.1720829224740799,453.5517269076306,2632688.677925567
40527,1.1720829224740799,460.48602409638556,2642884.3972345614
40528,1.1720829224740799,467.42032128514063,2653106.1127702123
40529,1.1720829224740799,474.35461847389564,2663354.1881332695
40530,1.1720829224740799,481.28891566265065,2673628.9616919737
40531,1.1720829224740799,488.2232128514057,2683930.748740493
40532,1.1720829224740799,495.1575100401607,2694259.8434954034
40533,1.1720829224740799,502.09180722891574,2704616.520945653
40534,1.1720829224740799,509.02610441767075,2715001.0385682406
40535,1.1720829224740799,515.9604016064258,2725413.637919571
40536,1.1720829224740799,522.8946987951808,2735854.5461106906
40537,1.1720829224740799,529.8289959839358,2746323.9771733894
40538,1.1720829224740799,536.7632931726909,2756822.133323201
40539,1.1720829224740799,543.6975903614459,2767349.206124729
40540,1.1720829224740799,550.6318875502009,2777905.37756423
40541,1.1720829224740799,557.5661847389558,2788490.821034046
40542,1.1720829224740799,564.5004819277109,2799105.702233288
40543,1.1720829224740799,571.434779116466,2809750.1799889626
40544,1.1720829224740799,578.3690763052209,2820424.4070016285
40545,1.1720829224740799,585.303373493976,2831128.5305195963
40546,1.1720829224740799,592.237670682731,2841862.692945559
40547,1.1720829224740799,599.171967871486,2852627.0323795304
40548,1.1720829224740799,606.106265060241,2863421.683101839
40549,1.1720829224740799,613.040562248996,2874246.775999908
40550,1.1720829224740799,619.9748594377511,2885102.438942422
40551,1.1720829224740799,626.909156626506,2895988.797104431
40552,1.1720829224740799,633.8434538152611,2906905.9732468547
40553,1.1720829224740799,640.7777510040162,2917854.0879536946
40554,1.1720829224740799,647.7120481927711,2928833.2598302355
40555,1.1720829224740799,654.6463453815261,2939843.6056653187
40556,1.1720829224740799,661.5806425702813,2950885.240560731
40557,1.1720829224740799,668.5149397590362,2961958.27803055
40558,1.1720829224740799,675.4492369477912,2973062.8300732314
40559,1.1720829224740799,682.3835341365462,2984199.0072190217
40560,1.1720829224740799,689.3178313253013,2995366.9185552164
40561,1.1720829224740799,696.2521285140563,3006566.6717315996
40562,1.1720829224740799,703.1864257028113,3017798.372948289
40563,1.1720829224740799,710.1207228915664,3029062.1269280775
40564,1.1720829224740799,717.0550200803214,3040358.0368752317
40565,1.1720829224740799,723.9893172690763,3051686.204422584
40566,1.1720829224740799,730.9236144578314,3063046.7295686076
40567,1.1720829224740799,737.8579116465864,3074439.7106060963
40568,1.1720829224740799,744.7922088353414,3085865.2440438746
40569,1.1720829224740799,751.7265060240965,3097323.424522935
40570,1.1720829224740799,758.6608032128515,3108814.3447282235
40571,1.1720829224740799,765.5951004016065,3120338.095297232
40572,1.1720829224740799,772.5293975903614,3131894.7647264274
40573,1.1720829224740799,779.4636947791166,3143484.4392764885
40574,1.1720829224740799,786.3979919678716,3155107.202877183
40575,1.1720829224740799,793.3322891566265,3166763.1370326867
40576,1.1720829224740799,800.2665863453817,3178452.3207280226
40577,1.1720829224740799,807.2008835341367,3190174.8303372343
40578,1.1720829224740799,814.1351807228916,3201930.73953387
40579,1.1720829224740799,821.0694779116466,3213720.119204219
40580,1.1720829224740799,828.0037751004018,3225543.037363759
40581,1.1720829224740799,834.9380722891567,3237399.5590771493
40582,1.1720829224740799,841.8723694779117,3249289.7463820935
40583,1.1720829224740799,848.8066666666668,3261213.658217335
40584,1.1720829224740799,855.7409638554218,3273171.3503549728
40585,1.1720829224740799,862.6752610441768,3285162.875337314
40586,1.1720829224740799,869.6095582329317,3297188.2824183516
40587,1.1720829224740799,876.5438554216869,3309247.6175099933
40588,1.1720829224740799,883.4781526104418,3321340.9231331027
40589,1.1720829224740799,890.4124497991968,3333468.2383733853
40590,1.1720829224740799,897.346746987952,3345629.59884212
40591,1.1720829224740799,904.2810441767069,3357825.036641752
40592,1.1720829224740799,911.2153413654619,3370054.580336283
40593,1.1720829224740799,918.1496385542168,3382318.2549264105
40594,1.1720829224740799,925.083935742972,3394616.0818293653
40595,1.1720829224740799,932.018232931727,3406948.0788633293
40596,1.1720829224740799,938.9525301204819,3419314.260236358
40597,1.1720829224740799,945.8868273092371,3431714.636539699
40598,1.1720829224740799,952.8211244979921,3444149.214745357
40599,1.1720829224740799,959.755421686747,3456617.998207815
40600,1.1720829224740799,966.6897188755022,3469120.986669746
40601,1.1720829224740799,973.6240160642571,3481658.1762715965
40602,1.1720829224740799,980.5583132530121,3494229.55956487
40603,1.1720829224740799,987.492610441767,3506835.125528991
40604,1.1720829224740799,994.4269076305222,3519474.85959157
40605,1.1720829224740799,1001.3612048192772,3532148.7436519316
40606,1.1720829224740799,1008.2955020080321,3544856.756107754
40607,1.1720829224740799,1015.2297991967873,3557598.871884638
40608,1.1720829224740799,1022.1640963855423,3570375.062468495
40609,1.1720829224740799,1029.0983935742972,3583185.295940553
40610,1.1720829224740799,1036.0326907630522,3596029.53701487
40611,1.1720829224740799,1042.9669879518074,3608907.747078164
40612,1.1720829224740799,1049.9012851405623,3621819.884231857
40613,1.1720829224740799,1056.8355823293173,3634765.903336138
40614,1.1720829224740799,1063.7698795180725,3647745.7560559497
40615,1.1720829224740799,1070.7041767068274,3660759.390908724
40616,1.1720829224740799,1077.6384738955824,3673806.7533137486
40617,1.1720829224740799,1084.5727710843375,3686887.785643031
40618,1.1720829224740799,1091.5070682730925,3700002.427273519
40619,1.1720829224740799,1098.4413654618475,3713150.614640587
40620,1.1720829224740799,1105.3756626506024,3726332.281292609
40621,1.1720829224740799,1112.3099598393576,3739547.357946568
40622,1.1720829224740799,1119.2442570281125,3752795.772544544
40623,1.1720829224740799,1126.1785542168675,3766077.45031099
40624,1.1720829224740799,1133.1128514056227,3779392.3138106903
40625,1.1720829224740799,1140.0471485943776,3792740.283007301
40626,1.1720829224740799,1146.9814457831326,3806121.275322376
40627,1.1720829224740799,1153.9157429718875,3819535.2056947895
40628,1.1720829224740799,1160.8500401606427,3832981.986640472
40629,1.1720829224740799,1167.7843373493977,3846461.5283123553
40630,1.1720829224740799,1174.7186345381526,3859973.7385604824
40631,1.1720829224740799,1181.6529317269078,3873518.5229921755
40632,1.1720829224740799,1188.5872289156628,3887095.785032208
40633,1.1720829224740799,1195.5215261044177,3900705.425982903
40634,1.1720829224740799,1202.455823293173,3914347.3450841103
40635,1.1720829224740799,1209.3901204819279,3928021.439572969
40636,1.1720829224740799,1216.3244176706828,3941727.604743441
40637,1.1720829224740799,1223.2587148594378,3955465.7340055276
40638,1.1720829224740799,1230.193012048193,3969235.718944134
40639,1.1720829224740799,1237.127309236948,3983037.4493775326
40640,1.1720829224740799,1244.0616064257028,3996870.813415372
40641,1.1720829224740799,1250.995903614458,4010735.697516215
40642,1.1720829224740799,1257.930200803213,4024631.986544527
40643,1.1720829224740799,1264.864497991968,4038559.56382712
40644,1.1720829224740799,1271.798795180723,4052518.311208994
40645,1.1720829224740799,1278.733092369478,4066508.1091085486
40646,1.1720829224740799,1285.667389558233,4080528.83657215
40647,1.1720829224740799,1292.601686746988,4094580.371327999
40648,1.1720829224740799,1299.535983935743,4108662.5898393244
40649,1.1720829224740799,1306.4702811244981,4122775.367356818
40650,1.1720829224740799,1313.404578313253,4136918.5779703455
40651,1.1720829224740799,1320.338875502008,4151092.0946598914
40652,1.1720829224740799,1327.2731726907632,4165295.789345719
40653,1.1720829224740799,1334.2074698795182,4179529.532937745
40654,1.1720829224740799,1341.141767068273,4193793.19538411
40655,1.1720829224740799,1348.076064257028,4208086.645718927
