,P,T,U
2670,262626713.6919239,1494.1165656565659,4118259.2318881946
2671,262626713.6919239,1511.5573737373738,4165024.3714068364
2672,262626713.6919239,1528.998181818182,4211651.5209218245
2673,262626713.6919239,1546.43898989899,4258152.244552784
2674,262626713.6919239,1563.879797979798,4304537.386504024
2675,262626713.6919239,1581.3206060606062,4350817.109170338
2676,262626713.6919239,1598.7614141414142,4397000.9304506965
2677,262626713.6919239,1616.2022222222224,4443097.760010502
2678,262626713.6919239,1633.6430303030304,4489115.934304087
2679,262626713.6919239,1651.0838383838386,4535063.250226555
2680,262626713.6919239,1668.5246464646466,4580946.997310319
2681,262626713.6919239,1685.9654545454546,4626773.98841833
2682,262626713.6919239,1703.4062626262628,4672550.588915188
2683,262626713.6919239,1720.8470707070708,4718282.744319963
2684,262626713.6919239,1738.287878787879,4763976.00646208
2685,262626713.6919239,1755.728686868687,4809635.558174863
2686,262626713.6919239,1773.1694949494952,4855266.2365711415
2687,262626713.6919239,1790.6103030303032,4900872.554952298
2688,262626713.6919239,1808.0511111111111,4946458.7234069435
2689,262626713.6919239,1825.4919191919194,4992028.668158301
2690,262626713.6919239,1842.9327272727273,5037586.049720982
2691,262626713.6919239,1860.3735353535355,5083134.279928246
2692,262626713.6919239,1877.8143434343435,5128676.537890403
2693,262626713.6919239,1895.2551515151517,5174215.784943974
2694,262626713.6919239,1912.6959595959597,5219754.778649562
2695,262626713.6919239,1930.136767676768,5265296.085894554
2696,262626713.6919239,1947.577575757576,5310842.095154518
2697,262626713.6919239,1965.018383838384,5356395.027964835
2698,262626713.6919239,1982.459191919192,5401956.949651673
2699,262626713.6919239,1999.9,5447529.779368899
2701,272727717.6125825,290.70080808080814,59767.038719077216
2702,272727717.6125825,308.1416161616162,124908.98598216685
2703,272727717.6125825,325.5824242424243,190301.90866156897
2704,272727717.6125825,343.0232323232324,255673.8551439244
2705,272727717.6125825,360.4640404040405,320934.47096409823
2706,272727717.6125825,377.90484848484857,386060.9722230268
2707,272727717.6125825,395.3456565656566,451059.1713671273
2708,272727717.6125825,412.7864646464647,515946.748171137
2709,272727717.6125825,430.2272727272728,580744.9079404643
2710,272727717.6125825,447.66808080808084,645474.1128667152
2711,272727717.6125825,465.10888888888894,710152.0663116677
2712,272727717.6125825,482.54969696969704,774792.9578043123
2713,272727717.6125825,499.99050505050513,839407.3716127337
2714,272727717.6125825,517.4313131313132,904002.5011555083
2715,272727717.6125825,534.8721212121213,968582.466350488
2716,272727717.6125825,552.3129292929293,1033148.6296844033
2717,272727717.6125825,569.7537373737375,1097699.8674155893
2718,272727717.6125825,587.1945454545455,1162232.787307084
2719,272727717.6125825,604.6353535353536,1226741.902622041
2720,272727717.6125825,622.0761616161617,1291219.7794212129
2721,272727717.6125825,639.5169696969698,1355657.1738240274
2722,272727717.6125825,656.9577777777779,1420043.1703874625
2723,272727717.6125825,674.3985858585859,1484365.323783446
